06/05/2026;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0,132755484362349;1,19542109352572E-02;-3,74213579970092E-02;3,72474105097421E-02;0,742123997415808;0,286522362746175
IPCA;6,67261745906373E-02;3,50938739292086E-02;-5,05748305485044E-02;4,74261827923338E-02;1,21621558375997;0,546552992226103

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
126;8,8071;13,9726;4,7473
252;8,1836;13,7011;5,1001
378;7,9242;13,5728;5,2338
504;7,8310;13,5320;5,2869
630;7,8058;13,5426;5,3214
756;7,8018;13,5809;5,3608
882;7,7987;13,6320;5,4112
1.008;7,7886;13,6868;5,4720
1.134;7,7702;13,7398;5,5391
1.260;7,7443;13,7879;5,6092
1.386;7,7126;13,8296;5,6790
1.512;7,6772;13,8646;5,7462
1.638;7,6395;13,8928;5,8094
1.764;7,6010;13,9147;5,8676
1.890;7,5625;13,9309;5,9206
2.016;7,5249;13,9420;5,9680
2.142;7,4885;13,9487;6,0101
2.268;7,4537;13,9516;6,0471
2.394;7,4206;13,9514;6,0796
2.520;7,3893;13,9485;6,1078
2.646;7,3598;13,9434;6,1322
2.772;7,3322;;
2.898;7,3062;;
3.024;7,2819;;
3.150;7,2591;;
3.276;7,2377;;
3.402;7,2177;;
3.528;7,1989;;
3.654;7,1813;;
3.780;7,1647;;
3.906;7,1492;;
4.032;7,1345;;
4.158;7,1207;;
4.284;7,1076;;
4.410;7,0953;;
4.536;7,0836;;
4.662;7,0726;;
4.788;7,0621;;
4.914;7,0522;;
5.040;7,0427;;
5.166;7,0337;;
5.292;7,0251;;
5.418;7,0169;;
5.544;7,0091;;
5.670;7,0016;;
5.796;6,9945;;
5.922;6,9876;;
6.048;6,9811;;
6.174;6,9748;;
6.300;6,9687;;
6.426;6,9629;;
6.552;6,9574;;
6.678;6,9520;;
6.804;6,9468;;
6.930;6,9418;;
7.056;6,9370;;
7.182;6,9324;;
7.308;6,9279;;
7.434;6,9236;;
7.560;6,9194;;
7.686;6,9153;;
7.812;6,9114;;
7.938;6,9076;;
8.064;6,9040;;
8.190;6,9004;;
8.316;6,8969;;
8.442;6,8936;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,3674
42;14,2729
63;14,1867
126;13,9726
252;13,7011
504;13,5320
756;13,5809
1.008;13,6868
1.260;13,7879
2.520;13,9485

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/07/2026;-0,0179
LTN;100000;01/10/2026;0,0891
LTN;100000;01/04/2027;-0,0070
LTN;100000;01/07/2027;-0,0214
LTN;100000;01/10/2027;-0,0546
LTN;100000;01/01/2028;0,0238
LTN;100000;01/04/2028;0,0488
LTN;100000;01/07/2028;0,0322
LTN;100000;01/01/2029;0,0016
LTN;100000;01/07/2029;-0,0184
LTN;100000;01/01/2030;0,0132
LTN;100000;01/01/2032;0,0736
NTN-F;950199;01/01/2027;-0,0362
NTN-F;950199;01/01/2029;-0,0041
NTN-F;950199;01/01/2031;-0,0299
NTN-F;950199;01/01/2033;-0,0195
NTN-F;950199;01/01/2035;0,0115
NTN-F;950199;01/01/2037;-0,0053
NTN-B;760199;15/08/2026;-0,1384
NTN-B;760199;15/05/2027;0,0386
NTN-B;760199;15/08/2028;-0,0412
NTN-B;760199;15/05/2029;0,0337
NTN-B;760199;15/08/2030;-0,0106
NTN-B;760199;15/05/2031;0,0295
NTN-B;760199;15/08/2032;-0,0076
NTN-B;760199;15/05/2033;-0,0336
NTN-B;760199;15/05/2035;0,0031
NTN-B;760199;15/05/2037;-0,0143
NTN-B;760199;15/08/2040;0,0263
NTN-B;760199;15/05/2045;0,0145
NTN-B;760199;15/08/2050;0,0148
NTN-B;760199;15/05/2055;-0,0068
NTN-B;760199;15/08/2060;-0,0218

